Name,Jobs,NewJobs,NewRatioPrct,Date
,,,,
Nvdia,747,33,4.417670683,5/27/2023
AMD,1000,54,5.4,5/27/2023
TSMC,318,4,1.257861635,5/27/2023
Apple,3000,121,4.033333333,5/27/2023
Microsoft,3000,276,9.2,5/27/2023
Tesla,8000,70,0.875,5/27/2023
Nvdia,754,17,2.25464191,5/28/2023
AMD,1000,39,3.9,5/28/2023
TSMC,318,2,0.628930818,5/28/2023
Apple,3000,54,1.8,5/28/2023
Microsoft,3000,63,2.1,5/28/2023
Tesla,8000,20,0.25,5/28/2023
Nvdia,752,20,2.6595744680851063,2023-05-28
AMD,1000,39,3.9,2023-05-28
TSMC,318,3,0.9433962264150944,2023-05-28
Apple,3000,53,1.7666666666666668,2023-05-28
Microsoft,3000,9,0.3,2023-05-28
Tesla,8000,12,0.15,2023-05-28
Nvdia,750,58,7.733333333333333,2023-05-30
AMD,1000,51,5.1,2023-05-30
TSMC,318,1,0.3144654088050315,2023-05-30
Apple,3000,57,1.9,2023-05-30
Microsoft,3000,225,7.5,2023-05-30
Tesla,8000,98,1.225,2023-05-30
